Nbr,Paper,St type,Start,End type,End,L15 st,L15 end,D_G,D_N,D_H3,D_H4,D_Other,GHG/T,M/O,Title,Abstract,Authors,Year,Journal,Volume,Issue,Pages (or article number),Sub.date,Pub.date,DOI,Link,Detection,Attribution,Impacts,Future,Language
27,Meehl et al. 2013,6,2001,"11,13",2012,2000,2009,,,,,NA,,2,Externally Forced and Internally Generated Decadal Climate Variability Associated with the Interdecadal Pacific Oscillation,"Globally averaged surface air temperatures in some decades show rapid increases (accelerated warming decades), and in other decades there is no warming trend (hiatus decades). A previous study showed that the net energy imbalance at the top of the atmosphere of about 1 W m?2 is associated with greater increases of deep ocean heat content below 750 m during the hiatus decades, while there is little globally averaged surface temperature increase or warming in the upper ocean layers. Here the authors examine processes involved with accelerated warming decades and address the relative roles of external forcing from increasing greenhouse gases and internally generated decadal climate variability associated with interdecadal Pacific oscillation (IPO). Model results from the Community Climate System Model, version 4 (CCSM4), show that accelerated warming decades are characterized by rapid warming of globally averaged surface air temperature, greater increases of heat content in the upper ocean layers, and less heat content increase in the deep ocean, opposite to the hiatus decades. In addition to contributions from processes potentially linked to Antarctic Bottom Water (AABW) formation and the Atlantic meridional overturning circulation (AMOC), the positive phase of the IPO, adding to the response to external forcing, is usually associated with accelerated warming decades. Conversely, hiatus decades typically occur with the negative phase of the IPO, when warming from the external forcing is overwhelmed by internally generated cooling in the tropical Pacific. Internally generated hiatus periods of up to 15 years with zero global warming trend are present in the future climate simulations. This suggests that there is a chance that the current observed hiatus could extend for several more years.","Gerald A. Meehl, Aixue Hu, Julie M. Arblaster, John Fasullo, Kevin E. Trenberth",2013,Journal of Climate,26,18,7298?7310,30-07-12,xx.9.2013,10.1175/JCLI-D-12-00548.1 ,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-12-00548.1,,1,,,En
31,Drijfhout et al. 2014,7,2001,9,2010,2001,2010,,,,,,,2,Surface warming hiatus caused by increased heat uptake across multiple ocean basins,"The first decade of the 21st century was characterized by a hiatus in global surface warming. Using ocean model hindcasts and reanalyses we show that heat uptake between the 1990s and 2000s increased by 0.7 Ò 0.3W?m?2. Approximately 30% of the increase is associated with colder sea surface temperatures in the eastern Pacific. Other basins contribute via reduced heat loss to the atmosphere, in particular, the Southern and subtropical Indian Oceans (30%) and the subpolar North Atlantic (40%). A different mechanism is important at longer timescales (1960s?present) over which the Southern Annular Mode trended upward. In this period, increased ocean heat uptake has largely arisen from reduced heat loss associated with reduced winds over the Agulhas Return Current and southward displacement of Southern Ocean westerlies.","S. S. Drijfhout, A. T. Blaker, S. A. Josey, A. J. G. Nurser, B. Sinha, M. A. Balmaseda",2014,GRL,41,22,7868?7874 ,07-08-14,25-11-14,10.1002/2014GL061456,http://onlinelibrary.wiley.com/doi/10.1002/2014GL061456/full,,1,,,En
35,Haywood et al. 2014,6,2003,13,2012,2002,2012,,,,1,,,2,The impact of volcanic eruptions in the period 2000?2013 on global mean temperature trends evaluated in the HadGEM2-ES climate model,"The slow-down in global warming over the last decade has lead to significant debate about whether the causes are of natural or anthropogenic origin. Using an ensemble of HadGEM2-ES coupled climate model simulations we investigate the impact of overlooked modest volcanic eruptions. We deduce a global mean cooling of around ?0.02 to ?0.03?K over the period 2008?2012. Thus while these eruptions do cause a cooling of the Earth and may therefore contribute to the slow-down in global warming, they do not appear to be the sole or primary cause.","Jim M. Haywood, Andy Jones, Gareth S. Jones",2014,ASL,15,2,92-96,08-07-13,25-11-13,10.1002/asl2.471,http://onlinelibrary.wiley.com/doi/10.1002/asl2.471/abstract,,1,,,En
38,Fyfe et al. 2013,5,1998,12,2012,1993 (1998),2012,,,,1,,,2,Overestimated global warming over the past 20 years,"Recent observed global warming is significantly less than that simulated by climate models. This difference might be explained by some combination of errors in external forcing, model response and internal climate variability.","John C. Fyfe, Nathan P. Gillett, Francis W. Zwiers",2013,NCC,3,September 2013,767?769,,28-08-13,10.1038/nclimate1972,http://www.nature.com/nclimate/journal/v3/n9/full/nclimate1972.html,,1,,,En
43,"Palmer & McNeall, 2014",6,2002,8,2012,unspecified,unspecified,,,,,NA,,2,Internal variability of Earth's energy budget simulated by CMIP5 climate models,"We analyse a large number of multi-century pre-industrial control simulations from the fifth phase of the Coupled Model Intercomparison Project (CMIP5) to investigate relationships between: net top-of-atmosphere radiation (TOA), globally averaged surface temperature (GST), and globally integrated ocean heat content (OHC) on decadal timescales. Consistent with previous studies, we find that large trends (~0.3 K dec?1) in GST can arise from internal climate variability and that these trends are generally an unreliable indicator of TOA over the same period. In contrast, trends in total OHC explain 95% or more of the variance in TOA for two-thirds of the models analysed; emphasizing the oceans' role as Earth's primary energy store. Correlation of trends in total system energy (TE  time integrated TOA) against trends in OHC suggests that for most models the ocean becomes the dominant term in the planetary energy budget on a timescale of about 12 months. In the context of the recent pause in global surface temperature rise, we investigate the potential importance of internal climate variability in both TOA and ocean heat rearrangement. The model simulations suggest that both factors can account for O (0.1 W m?2) on decadal timescales and may play an important role in the recently observed trends in GST and 0?700 m (and 0?1800 m) ocean heat uptake.","M. D. Palmer, D. J. McNeall",2014,ERL,9,3,,29-11-13,20-03-14,10.1088/1748-9326/9/3/034016,http://iopscience.iop.org/1748-9326/9/3/034016,,1,,,En
49,"Li & Baker, 2016",2,1998,6,2012,,,1,,,,,,2,Detecting Warming Hiatus Periods in CMIP5 Climate Model Projections,"The observed slow-down in the global-mean surface temperature (GST) warming from 1998 to 2012 has been called a ?warming hiatus.? Certain climate models, operating under experiments which simulate warming by increasing radiative forcing, have been shown to reproduce periods which resemble the observed hiatus. The present study provides a comprehensive analysis of 38 CMIP5 climate models to provide further evidence that models produce warming hiatus periods during warming experiments. GST rates are simulated in each model for the 21st century using two experiments: a moderate warming scenario (RCP4.5) and high-end scenario (RCP8.5). Warming hiatus periods are identified in model simulations by detecting (1) Ú15-year periods lacking a statistically meaningful trend and (2) rapid changes in the GST rate which resemble the observed 1998?2012 hiatus. Under the RCP4.5 experiment, all tested models produce warming hiatus periods. However, once radiative forcing exceeds 5?W/m2?about 2¯C GST increase?as simulated in the RCP8.5 experiment after 2050, nearly all models produce only positive warming trends. All models show evidence of rapid changes in the GST rate resembling the observed hiatus, showing that the climate variations associated with warming hiatus periods are still evident in the models, even under accelerated warming conditions.","Tony W. Li, Noel C. Baker",2016,International Journal of Atmospheric Sciences,2016,,9657659,12-02-16,15-06-16,10.1155/2016/9657659,https://www.hindawi.com/journals/ijas/2016/9657659/abs/,1,,,1,En
52,"Marotzke & Forster, 2015",2,1998,2,2012,,,,,,1,,,2,"Forcing, feedback and internal variability in global temperature trends","Most present-generation climate models simulate an increase in global-mean surface temperature (GMST) since 1998, whereas observations suggest a warming hiatus. It is unclear to what extent this mismatch is caused by incorrect model forcing, by incorrect model response to forcing or by random factors. Here we analyse simulations and observations of GMST from 1900 to 2012, and show that the distribution of simulated 15-year trends shows no systematic bias against the observations. Using a multiple regression approach that is physically motivated by surface energy balance, we isolate the impact of radiative forcing, climate feedback and ocean heat uptake on GMST?with the regression residual interpreted as internal variability?and assess all possible 15- and 62-year trends. The differences between simulated and observed trends are dominated by random internal variability over the shorter timescale and by variations in the radiative forcings used to drive models over the longer timescale. For either trend length, spread in simulated climate feedback leaves no traceable imprint on GMST trends or, consequently, on the difference between simulations and observations. The claim that climate models systematically overestimate the response to radiative forcing from increasing greenhouse gas concentrations therefore seems to be unfounded.","Jochem Marotzke, Piers M. Forster",2015,Nature,517,,565?570,06-08-14,28-01-15,doi:10.1038/nature14117,http://www.nature.com/nature/journal/v517/n7536/abs/nature14117.html,,1,,,En
59,Brown et al. 2015,2,2002,12,2013,,,1,,,,,,2,Comparing the model-simulated global warming signal to observations using empirical estimates of unforced noise,"The comparison of observed global mean surface air temperature (GMT) change to the mean change simulated by climate models has received much public and scientific attention. For a given global warming signal produced by a climate model ensemble, there exists an envelope of GMT values representing the range of possible unforced states of the climate system (the Envelope of Unforced Noise; EUN). Typically, the EUN is derived from climate models themselves, but climate models might not accurately simulate the correct characteristics of unforced GMT variability. Here, we simulate a new, empirical, EUN that is based on instrumental and reconstructed surface temperature records. We compare the forced GMT signal produced by climate models to observations while noting the range of GMT values provided by the empirical EUN. We find that the empirical EUN is wide enough so that the interdecadal variability in the rate of global warming over the 20th century does not necessarily require corresponding variability in the rate-of-increase of the forced signal. The empirical EUN also indicates that the reduced GMT warming over the past decade or so is still consistent with a middle emission scenario?s forced signal, but is likely inconsistent with the steepest emission scenario?s forced signal.","Patrick T. Brown, Wenhong Li, Eugene C. Cordero, Steven A. Mauget",2015,Scientific Reports,5,,9957,30-11-14,21-04-15,10.1038/srep09957,http://www.nature.com/srep/2015/150421/srep09957/full/srep09957.html,,1,,,En
61,Wang et al. 2016c,3,2001,13,2015,,,1,,,1,,,2,The linkage between stratospheric water vapor and surface temperature in an observation-constrained coupled general circulation model,"We assess the interactions between stratospheric water vapor (SWV) and surface temperature during the past two decades using satellite observations and the Community Earth System Model (CESM). From 1992 to 2013, to first order, the observed SWV exhibited three distinct piece-wise trends: a steady increase from 1992 to 2000, an abrupt drop from 2000 to 2004, and a gradual recovery after 2004, while the global-mean surface temperature experienced a strong increase until 2000 and a warming hiatus after 2000. The atmosphere-only CESM shows that the seasonal variation of tropical-mean (30¯S?30¯N) SWV is anticorrelated with that of the tropical-mean sea surface temperature (SST), while the correlation between the tropical SWV and SST anomalies on the interannual time scale is rather weak. By nudging the modeled SWV to prescribed profiles in coupled atmosphere-slab ocean experiments, we investigate the impact of SWV variations on surface temperature change. We find that a uniform 1 ppmv (0.5 ppmv) SWV increase (decrease) leads to an equilibrium global mean surface warming (cooling) of 0.12 Ò 0.05 ¯C (?0.07 Ò 0.05 ¯C). Sensitivity experiments show that the equilibrium response of global mean surface temperature to SWV perturbations over the extratropics is larger than that over the tropics. The observed sudden drop of SWV from 2000 to 2004 produces a global mean surface cooling of about ?0.048 Ò 0.041 ¯C, which suggests that a persistent change in SWV would make an imprint on long-term variations of global-mean surface temperature. A constant linear increase in SWV based on the satellite-observed rate of SWV change yields a global mean surface warming of 0.03 Ò 0.01 ¯C/decade over a 50-year period, which accounts for about 19 % of the observed surface temperature increase prior to the warming hiatus. In the same experiment, trend analyses during different periods reveal a multi-year adjustment of surface temperature before the response to SWV forcing becomes strong relative to the internal variability in the model.","Yuan Wang, Hui Su, Jonathan H. Jiang, Nathaniel J. Livesey, Michelle L. Santee, Lucien Froidevaux, William G. Read, John Anderson",2016,Climate Dynamics,,,,12-12-15,13-06-16,10.1007/s00382-016-3231-3,http://rd.springer.com/article/10.1007/s00382-016-3231-3,,1,,,En
65,Saenko et al. 2016,3,2003,7,2013,,,1,,,,,,2,Influence of tropical wind on global temperature from months to decades,"Using an Earth System Model and observations we analyze the sequence of events connecting episodes of trade wind strengthening (or weakening) to global mean surface temperature (GMST) cooling (or warming), with tropical ocean wave dynamics partially setting the time scale. In this sequence tropical west Pacific wind stress signals lead equatorial east Pacific thermocline depth signals which lead tropical east Pacific sea surface temperature (SST) signals which lead GMST signals. Using the anthropogenic, natural and tropical wind signals extracted from our simulations in a multivariate linear regression with observed GMST makes clear the balance that exists between anthropogenic warming and tropical wind-induced cooling during the recent warming slowdown, and between volcanic cooling and tropical wind-induced warming during the El Chich¢n and Pinatubo eruptions. Finally, we find an anticorrelation between global-mean temperatures in the near-surface (upper ? 100 m) and subsurface (? 100?300 m) ocean layers, linked to wind-driven interannual to decadal variations in the strength of the subtropical cell overturning in the upper Pacific Ocean.","Oleg A. Saenko, John C. Fyfe, Neil C. Swart, Warren G. Lee, Matthew H. England",2016,Climate Dynamics,47,7,2193-2203,13-08-15,04-01-16,10.1007/s00382-015-2958-6,http://link.springer.com/article/10.1007/s00382-015-2958-6,,1,,,En
66,Delworth et al. 2015,3,2002,3,2013,,,,,,1,,,2,A Link between the Hiatus in Global Warming and North American Drought,"Portions of western North America have experienced prolonged drought over the last decade. This drought has occurred at the same time as the global warming hiatus?a decadal period with little increase in global mean surface temperature. Climate models and observational analyses are used to clarify the dual role of recent tropical Pacific changes in driving both the global warming hiatus and North American drought. When observed tropical Pacific wind stress anomalies are inserted into coupled models, the simulations produce persistent negative sea surface temperature anomalies in the eastern tropical Pacific, a hiatus in global warming, and drought over North America driven by SST-induced atmospheric circulation anomalies. In the simulations herein the tropical wind anomalies account for 92% of the simulated North American drought during the recent decade, with 8% from anthropogenic radiative forcing changes. This suggests that anthropogenic radiative forcing is not the dominant driver of the current drought, unless the wind changes themselves are driven by anthropogenic radiative forcing. The anomalous tropical winds could also originate from coupled interactions in the tropical Pacific or from forcing outside the tropical Pacific. The model experiments suggest that if the tropical winds were to return to climatological conditions, then the recent tendency toward North American drought would diminish. Alternatively, if the anomalous tropical winds were to persist, then the impact on North American drought would continue; however, the impact of the enhanced Pacific easterlies on global temperature diminishes after a decade or two due to a surface reemergence of warmer water that was initially subducted into the ocean interior.","Thomas L. Delworth, Fanrong Zeng, Anthony Rosati, Gabriel A. Vecchi, Andrew T. Wittenberg",2015,Journal of Climate,28,9,3834-3845,03-09-14,xx.5.2015,10.1175/JCLI-D-14-00616.1,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-14-00616.1,,,1,,En
68,Power et al. 2016,3,1997,3,2014,,,,,,1,,,2,Apparent limitations in the ability of CMIP5 climate models to simulate recent multi-decadal change in surface temperature: implications for global temperature projections,"Observed surface temperature trends over the period 1998?2012/2014 have attracted a great deal of interest because of an apparent slowdown in the rate of global warming, and contrasts between climate model simulations and observations of such trends. Many studies have addressed the statistical significance of these relatively short-trends, whether they indicate a possible bias in the model values and the implications for global warming generally. Here we re-examine these issues, but as they relate to changes over much longer-term changes. We find that on multi-decadal time scales there is little evidence for any change in the observed global warming rate, but some evidence for a recent temporary slowdown in the warming rate in the Pacific. This multi-decadal slowdown can be partly explained by a cool phase of the Interdecadal Pacific Oscillation and a short-term excess of La Ni§a events. We also analyse historical and projected changes in 38 CMIP climate models. All of the model simulations examined simulate multi-decadal warming in the Pacific over the past half-century that exceeds observed values. This difference cannot be fully explained by observed internal multi-decadal climate variability, even if allowance is made for an apparent tendency for models to underestimate internal multi-decadal variability in the Pacific. Models which simulate the greatest global warming over the past half-century also project warming that is among the highest of all models by the end of the twenty-first century, under both low and high greenhouse gas emission scenarios. Given that the same models are poorest in representing observed multi-decadal temperature change, confidence in the highest projections is reduced.","Scott Power, Franáois Delage, Guomin Wang, Ian Smith, Greg Kociuba",2016,Climate Dynamics,,,,22-12-15,28-09-16,10.1007/s00382-016-3326-x,http://rd.springer.com/article/10.1007/s00382-016-3326-x,1,1,,,En
73,Kumar et al. 2016,4,1999,6,2013,,,1,1,,1,,,2,"Twentieth century temperature trends in CMIP3, CMIP5, and CESM-LE climate simulations: Spatial-temporal uncertainties, differences, and their potential sources","The twentieth century climate simulations from the Coupled Model Intercomparison Project Phase 3 (CMIP3) and Phase 5 (CMIP5) are compared to assess the models' ability to capture observed near-surface air temperature trends at global, continental, and regional scales. We computed trends by using a nonparametric method and considering long-term persistence in the time series. The role of internal variability is examined by using large ensemble climate simulations from the National Center for Atmospheric Research model Community Earth System Model (CESM). We computed temperature trends for three periods: (1) the twentieth century, (2) the second half of the twentieth century, and (3) the recent hiatus period to contrast the roles of external forcing and internal variability at various spatial and temporal scales. Both CMIP ensembles show statistically significant warming at global and continental scales during the twentieth century. We found a small but statistically significant difference between CMIP3 (0.57?Ò?0.07?¯C/century) and CMIP5 (0.47?Ò?0.06?¯C/century) twentieth century temperature trends, with the CMIP3 estimate being closer to the observations. The spatial structure of long-term temperature trends, and top-of-the atmosphere net radiation trends, suggests that differences in model parameterizations and feedback processes that lead to a smaller net radiative forcing are likely contributing to the differences between CMIP3 and CMIP5. The estimate of internal variability based on the CESM large ensemble spans 24% of the uncertainty in CMIP5 for the twentieth century temperature trends, and 76% for the recent hiatus period, both at global scales, and 43% and almost 100% during the corresponding time periods at regional scales.","Sanjiv Kumar, James L. Kinter III, Zaitao Pan, Justin Sheffield",2016,JGR,121,16,9561-9575,16-11-15,27-08-16,10.1002/2015JD024382,http://onlinelibrary.wiley.com/doi/10.1002/2015JD024382/full,,1,,,En
76,Douville et al. 2015,4,1998,6,2012,,,,,,,HadISST,,2,The recent global warming hiatus: What is the role of Pacific variability?,"The observed global mean surface air temperature (GMST) has not risen over the last 15?years, spurring outbreaks of skepticism regarding the nature of global warming and challenging the upper range transient response of the current-generation global climate models. Recent numerical studies have, however, tempered the relevance of the observed pause in global warming by highlighting the key role of tropical Pacific internal variability. Here we first show that many climate models overestimate the influence of the El Ni§o?Southern Oscillation on GMST, thereby shedding doubt on their ability to capture the tropical Pacific contribution to the hiatus. Moreover, we highlight that model results can be quite sensitive to the experimental design. We argue that overriding the surface wind stress is more suitable than nudging the sea surface temperature for controlling the tropical Pacific ocean heat uptake and, thereby, the multidecadal variability of GMST. Using the former technique, our model captures several aspects of the recent climate evolution, including the weaker slowdown of global warming over land and the transition toward a negative phase of the Pacific Decadal Oscillation. Yet the observed global warming is still overestimated not only over the recent 1998?2012 hiatus period but also over former decades, thereby suggesting that the model might be too sensitive to the prescribed radiative forcings.","H. Douville, A. Voldoire, O. Geoffroy",2015,GRL,42,3,880-888,09-12-14,10-02-15,10.1002/2014GL062775,http://onlinelibrary.wiley.com/doi/10.1002/2014GL062775/abstract,,1,,,En
77,Schurer et al. 2015,4,1998,6,2013,,,1,,,,,,2,Determining the likelihood of pauses and surges in global warming,"The recent warming ?hiatus? is subject to intense interest, with proposed causes including natural forcing and internal variability. Here, we derive samples of all natural and internal variability from observations and a recent proxy reconstruction to investigate the likelihood that these two sources of variability could produce a hiatus or rapid warming in surface temperature. The likelihood is found to be consistent with that calculated previously for models and exhibits a similar spatial pattern, with an Interdecadal Pacific Oscillation-like structure, although with more signal in the Atlantic than in model patterns. The number and length of events increases if natural forcing is also considered, particularly in the models. From the reconstruction it can be seen that large eruptions, such as Mount Tambora in 1815, or clusters of eruptions, may result in a hiatus of over 20 years, a finding supported by model results.","Andrew P. Schurer, Gabriele C. Hegerl, Stephen P. Obrochta",2015,GRL,42,14,5974-5982,07-05-15,23-06-15,10.1002/2015GL064458,http://onlinelibrary.wiley.com/doi/10.1002/2015GL064458/full,,1,,,En
78,Ou et al. 2015,4,1998,13,2015,,,,,,,SODA (SST),,2,Simulated Heat Sink in the Southern Ocean and Its Contribution to the Recent Hiatus Decade,"A set of numerical experiments is designed and carried out to understand a heat sink in the Southern Ocean in the recent hiatus decade. By using an oceanic general circulation model, the authors focus on the contributions from two types of forcing: wind stress and thermohaline forcing. The simulated results show that the heat sink in the upper Southern Ocean comes mainly from thermohaline forcing; while in the deeper layers, wind stress forcing also plays an important role. These different contributions may be due to different physical processes for the heat budget. The combination of these two types of forcing shows a significant heat sink in the Southern Ocean in the recent hiatus decade, and this is consistent with the observations and conclusions of a similar recently published study.","OU Nian-Sen, LIN Yi-Hua, BI Xun-Qiang",2015,Atmospheric and Oceanic Science Letters,8,3,174-178,10-01-15,16-02-15,10.3878/AOSL20150008,http://www.iapjournals.ac.cn/aosl/EN/abstract/abstract552.shtml,,1,,,En
79,"Kosaka & Xie, 2016",4,1998,13,2016,,,1,1,,1,,,2,The tropical Pacific as a key pacemaker of the variable rates of global warming,"Global mean surface temperature change over the past 120 years resembles a rising staircase1, 2: the overall warming trend was interrupted by the mid-twentieth-century big hiatus and the warming slowdown2, 3, 4, 5, 6, 7, 8 since about 1998. The Interdecadal Pacific Oscillation9, 10 has been implicated in modulations of global mean surface temperatures6, 11, but which part of the mode drives the variability in warming rates is unclear. Here we present a successful simulation of the global warming staircase since 1900 with a global ocean?atmosphere coupled model where tropical Pacific sea surface temperatures are forced to follow the observed evolution. Without prescribed tropical Pacific variability, the same model, on average, produces a continual warming trend that accelerates after the 1960s. We identify four events where the tropical Pacific decadal cooling markedly slowed down the warming trend. Matching the observed spatial and seasonal fingerprints we identify the tropical Pacific as a key pacemaker of the warming staircase, with radiative forcing driving the overall warming trend. Specifically, tropical Pacific variability amplifies the first warming epoch of the 1910s?1940s and determines the timing when the big hiatus starts and ends. Our method of removing internal variability from the observed record can be used for real-time monitoring of anthropogenic warming.","Yu Kosaka, Shang-Ping Xie",2016,Nature geoscience,9,9,669-673,16-03-16,18-07-16,10.1038/ngeo2770,http://www.nature.com/ngeo/journal/v9/n9/abs/ngeo2770.html,,1,,,En
82,Rackow_et_al_2016,4,1998,6,2012,,,,,,1,"HadISST, ERA-Interim",,2,Towards multi-resolution global climate modeling with ECHAM6-FESOM. Part II: climate variability,"This study forms part II of two papers describing ECHAM6-FESOM, a newly established global climate model with a unique multi-resolution sea ice-ocean component. While part I deals with the model description and the mean climate state, here we examine the internal climate variability of the model under constant present-day (1990) conditions. We (1) assess the internal variations in the model in terms of objective variability performance indices, (2) analyze variations in global mean surface temperature and put them in context to variations in the observed record, with particular emphasis on the recent warming slowdown, (3) analyze and validate the most common atmospheric and oceanic variability patterns, (4) diagnose the potential predictability of various climate indices, and (5) put the multi-resolution approach to the test by comparing two setups that differ only in oceanic resolution in the equatorial belt, where one ocean mesh keeps the coarse ~1¯ resolution applied in the adjacent open-ocean regions and the other mesh is gradually refined to ~0.25¯. Objective variability performance indices show that, in the considered setups, ECHAM6-FESOM performs overall favourably compared to five well-established climate models. Internal variations of the global mean surface temperature in the model are consistent with observed fluctuations and suggest that the recent warming slowdown can be explained as a once-in-one-hundred-years event caused by internal climate variability; periods of strong cooling in the model (?hiatus? analogs) are mainly associated with ENSO-related variability and to a lesser degree also to PDO shifts, with the AMO playing a minor role. Common atmospheric and oceanic variability patterns are simulated largely consistent with their real counterparts. Typical deficits also found in other models at similar resolutions remain, in particular too weak non-seasonal variability of SSTs over large parts of the ocean and episodic periods of almost absent deep-water formation in the Labrador Sea, resulting in overestimated North Atlantic SST variability. Concerning the influence of locally (isotropically) increased resolution, the ENSO pattern and index statistics improve significantly with higher resolution around the equator, illustrating the potential of the novel unstructured-mesh method for global climate modeling.","T. Rackow, H. F. Goessling, T. Jung, D. Sidorenko, T. Semmler, D. Barbi, D. Handorf",2016,Climate Dynamics,,,,13-08-15,04-06-16,10.1007/s00382-016-3192-6,http://rd.springer.com/article/10.1007/s00382-016-3192-6,,1,,,En
89,"Dong & McPhaden, 2017",4,2000,6,2012,,,,,,,"HadISST, ERSST, Kaplan SST",,2,Why has the relationship between Indian and Pacific Ocean decadal variability changed in recent decades?,"Both the Indian and Pacific Oceans exhibit prominent decadal time scale variations in sea surface temperature (SST), linked dynamically via atmospheric and oceanic processes. However, the relationship between SST in these two basins underwent a dramatic transformation beginning around 1985. Prior to that, SST variations associated with the Indian Ocean Basin Mode (IOB) and the Inter-decadal Pacific Oscillation (IPO) were positively correlated, while afterwards they were much less clearly synchronized. We present evidence from both observations and coupled state-of-the-art climate models that enhanced external forcing, particularly increased anthropogenic greenhouse gases, was the principal cause of this changed relationship. Using coupled climate model experiments, we determine that without external forcing, the evolution of the IOB would be strongly forced by variations in the IPO. However, with strong external forcing, the dynamical linkage between the IOB and the IPO weakens and so that the negative phase IPO after 2000 is unable to force a negative phase IOB cooling of the Indian Ocean. This changed relationship in the IOB and IPO led to unique SST patterns in the Indo-Pacific region after 2000, which favored exceptionally strong easterly trade winds over the tropical Pacific Ocean and a pronounced global warming hiatus in the first decade of the 21st century.","Lu Dong, Michael J. McPhaden",2017,Journal of Climate,30,6,1971-1983,14-04-16,14-12-16,10.1175/JCLI-D-16-0313.1,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-16-0313.1,,1,,,En
92,"Zeng & Geil, 2016",4,1998,6,2012,,,1,1,,1,Best,,2,Global warming projection in the 21st century based on an observational data-driven model,"Global warming has been projected primarily by Earth system models (ESMs). Complementary to this approach, here we provide the decadal and long-term global warming projections based on an observational data-driven model. This model combines natural multidecadal variability with anthropogenic warming that depends on the history of annual emissions. It shows good skill in decadal hindcasts with the recent warming slowdown well captured. While our ensemble mean temperature projections at the end of 21st century are consistent with those from ESMs, our decadal warming projection of 0.35 (0.30-0.43)?K from 1986?2005 to 2016?2035 is within their projection range and only two-thirds of the ensemble mean from ESMs. Our predicted warming rate in the next few years is slower than in the 1980s and 1990s, followed by a greater warming rate. Our projection uncertainty range is just one-third of that from ESMs, and its implication is also discussed.","Xubin Zeng, Kerrie Geil",2016,GRL,43,20,10947-10954,29-08-16,28-10-16,10.1002/2016GL071035,http://onlinelibrary.wiley.com/doi/10.1002/2016GL071035/full,,,,1,En
95,Gettelman et al. 2015,4,1998,13,2014,,,1,,1,1,,,2,Impact of aerosol radiative effects on 2000?2010 surface temperatures,"Aerosol radiative forcing from direct and indirect effects of aerosols is examined over the recent past (last 10?15 years) using updated sulfate aerosol emissions in two Earth System Models with very different surface temperature responses to aerosol forcing. The hypothesis is that aerosol forcing and in particular, the impact of indirect effects of aerosols on clouds (Aerosol?Cloud Interactions, or ACI), explains the recent ?hiatus? in global mean surface temperature increases. Sulfate aerosol emissions increase globally from 2000 to 2005, and then decrease slightly to 2010. Thus the change in anthropogenic sulfate induced net global radiative forcing is small over the period. Regionally, there are statistically significant forcings that are similar in both models, and consistent with changes in simulated emissions and aerosol optical depth. Coupled model simulations are performed to look at impacts of the forcing on recent surface temperatures. Temperature response patterns in the models are similar, and reflect the regional radiative forcing. Pattern correlations indicate significant correlations between observed decadal surface temperature changes and simulated surface temperature changes from recent sulfate aerosol forcing in an equilibrium framework. Sulfate ACI might be a contributor to the spatial patterns of recent temperature forcing, but not to the global mean ?hiatus? itself.","A. Gettelman, D. T. Shindell, J. F. Lamarque",2015,Climate Dynamics,45,7,2165-2179,15-09-14,06-01-15,10.1007/s00382-014-2464-2,http://link.springer.com/article/10.1007/s00382-014-2464-2,,1,,,En
97,Meehl et al. 2016a,4,2000,6,2013,,,,1,,,NCEP/NCAR,,2,Initialized decadal prediction for transition to positive phase of the Interdecadal Pacific Oscillation,"The negative phase of the Interdecadal Pacific Oscillation (IPO), a dominant mode of multi-decadal variability of sea surface temperatures (SSTs) in the Pacific, contributed to the reduced rate of global surface temperature warming in the early 2000s. A proposed mechanism for IPO multidecadal variability indicates that the presence of decadal timescale upper ocean heat content in the off-equatorial western tropical Pacific can provide conditions for an interannual El Ni§o/Southern Oscillation event to trigger a transition of tropical Pacific SSTs to the opposite IPO phase. Here we show that a decadal prediction initialized in 2013 simulates predicted Ni§o3.4 SSTs that have qualitatively tracked the observations through 2015. The year three to seven average prediction (2015?2019) from the 2013 initial state shows a transition to the positive phase of the IPO from the previous negative phase and a resumption of larger rates of global warming over the 2013?2022 period consistent with a positive IPO phase.","Gerald A. Meehl, Aixue Hu, Haiyan Teng",2016,Nature Communications,7,,11718,04-01-16,02-06-16,10.1038/ncomms11718,http://www.nature.com/articles/ncomms11718,,1,,1,En
